Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_CURA,Chrome 90.0.4430.93,,,2021-05-08 22:47:30,2021-05-08 22:47:47,16.410s,PASSED
,,,,,,,
Test Cases/main/TC_CURA,Chrome 90.0.4430.93,,,2021-05-08 22:47:32,2021-05-08 22:47:47,14.903s,PASSED
Start listener action : beforeTestCase,Chrome 90.0.4430.93,,,2021-05-08 22:47:32,2021-05-08 22:47:32,0.029s,PASSED
"openBrowser("""")",Chrome 90.0.4430.93,,,2021-05-08 22:47:32,2021-05-08 22:47:35,3.414s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 90.0.4430.93,,,2021-05-08 22:47:35,2021-05-08 22:47:38,2.285s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 90.0.4430.93,,,2021-05-08 22:47:38,2021-05-08 22:47:39,0.922s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 90.0.4430.93,,,2021-05-08 22:47:39,2021-05-08 22:47:40,0.935s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 90.0.4430.93,,,2021-05-08 22:47:40,2021-05-08 22:47:40,0.532s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 90.0.4430.93,,,2021-05-08 22:47:40,2021-05-08 22:47:41,0.979s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 90.0.4430.93,,,2021-05-08 22:47:41,2021-05-08 22:47:42,1.079s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 90.0.4430.93,,,2021-05-08 22:47:42,2021-05-08 22:47:43,0.443s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Medicaid_programs""))",Chrome 90.0.4430.93,,,2021-05-08 22:47:43,2021-05-08 22:47:43,0.455s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""), """")",Chrome 90.0.4430.93,,,2021-05-08 22:47:43,2021-05-08 22:47:44,0.781s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_20""))",Chrome 90.0.4430.93,,,2021-05-08 22:47:44,2021-05-08 22:47:44,0.446s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""ThisIsAComment"")",Chrome 90.0.4430.93,,,2021-05-08 22:47:44,2021-05-08 22:47:45,0.856s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 90.0.4430.93,,,2021-05-08 22:47:45,2021-05-08 22:47:46,0.757s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 90.0.4430.93,,,2021-05-08 22:47:46,2021-05-08 22:47:47,0.745s,PASSED
